LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price,Product Link
C2913202,ESP32-S3-WROOM-1-N16R8,Espressif Systems,"SMD,18x25.5mm",,"SMD,18x25.5mm  WiFi Modules ROHS",yes,1,1,4.8293,4.83,https://assets.lcsc.com/images/lcsc/96x96/20230123_Espressif-Systems-ESP32-S3-WROOM-1-N16R8_C2913202_front.jpg
C964632,CP2102N-A02-GQFN28R,SILICON LABS,QFN-28-EP(5x5),,QFN-28-EP(5x5)  USB ICs ROHS,yes,1,1,2.5955,2.60,https://assets.lcsc.com/images/lcsc/96x96/20230202_SILICON-LABS-CP2102N-A02-GQFN28R_C964632_front.jpg
